circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
10,10_circles_lined.png,"(1, 0.4)",There were 9 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.2786646,388.2898658,389.7736884,None,388.7740728,389.2731955,m,0.7749617,389.7736884,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
8,8_circles_notlined.png,"(0.5, 0.5)",There were 7 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.6932157,391.7064256,393.1904291,None,392.1904176,392.689733,z,0.5881932,393.1904291,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
8,8_circles_notlined.png,"(0.5, 0.5)",There were 9 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,7,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.9421325,394.956327,396.4235039,397.4396977,395.4230612,395.9230589,m,1.0195453,396.4235039,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
10,10_circles_notlined.png,"(0.5, 0.6)",There were 8 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,8,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.6465189,398.6563032,400.1228636,None,399.1230373,399.623838,z,0.626698,400.1228636,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
9,9_circles_lined.png,"(0.5, 0.5)",There were 10 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.868857,401.8729374,403.3562732,None,402.3563335,402.8567341,m,0.7667321,403.3562732,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
9,9_circles_lined.png,"(0.5, 0.5)",There were 8 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.2095361,405.2229281,406.7057652,None,405.7070097,406.2062023,m,0.7131665,406.7057652,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
8,8_circles_lined.png,"(0.75, 0.35)",There were 8 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.5150766,408.5237912,410.0055524,None,409.004808,409.5058402,z,0.4513953,410.0055524,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
8,8_circles_notlined.png,"(0.5, 0.5)",There were 8 circles,Yes,z,High,No,0,0,0,0,,,,,,,,,0,12,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.6148187,411.6213081,413.1058254,None,412.1057575,412.6053553,m,0.9028355,413.1058254,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
8,8_circles_lined.png,"(0.75, 0.35)",There were 7 circles,No,m,High,Yes,0,0,0,0,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.1100424,415.1235209,416.6061984,None,415.6068823,416.1068866,m,0.6909025,416.6061984,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
9,9_circles_lined.png,"(0.5, 0.5)",There were 9 circles,Yes,z,High,Yes,0,0,0,0,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.3970565,418.4069922,419.8893652,None,418.8899598,419.3893251,z,0.4253176,419.8893652,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
